Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
Hon.	Axne	Cindy		P	IA03	2023	1/2/2023	20022202
Hon.	Axne	Cindy		T	IA03	2023	1/28/2023	10050798
Hon.	Barr	Garland "Andy"		G	KY06	2023	1/12/2023	8219331
Hon.	Blumenauer	Earl		P	OR03	2023	1/4/2023	20022225
Hon.	Blumenauer	Earl		P	OR03	2023	1/12/2023	20022271
Hon.	Bourdeaux	Carolyn		X	GA07	2023	1/16/2023	30017735
Hon.	Brooks	Mo		X	AL05	2023	1/23/2023	30017748
Hon.	Brown	Anthony		T	MD04	2023	1/14/2023	10050771
Hon.	Budd	Theodore P.		E	NC13	2023	1/6/2023	8219324
Hon.	Burgess	Michael C.		P	TX26	2023	1/25/2023	20022259
Hon.	Bustos	Cheri		T	IL17	2023	1/24/2023	10050743
Hon.	Cawthorn	David Madison		X	NC11	2023	1/23/2023	30017745
Hon.	Chabot	Steve		X	OH01	2023	1/23/2023	30017747
Hon.	Cheney	Elizabeth		X	WY00	2023	2/2/2023	30017762
	Ching	Eric J.		C	CA38	2023	2/1/2023	10050857
Hon.	Connolly	Gerald E.		P	VA11	2023	1/24/2023	20022309
Hon.	Conway	Connie		X	CA22	2023	2/2/2023	30017763
Hon.	Cooper	Jim		X	TN05	2023	1/17/2023	30017737
Hon.	Curtis	John		P	UT03	2023	1/10/2023	20022249
Hon.	Davis	Rodney		T	IL13	2023	1/14/2023	10050777
Hon.	DeFazio	Peter A.		T	OR04	2023	1/14/2023	10050775
Hon.	DelBene	Suzan K.		P	WA01	2023	1/2/2023	20022183
Hon.	DelBene	Suzan K.		P	WA01	2023	1/21/2023	20022288
Hon.	Demings	Valdez 'Val'		X	FL10	2023	1/30/2023	30017753
Hon.	Dingell	Debbie		P	MI12	2023	1/1/2023	20022184
Hon.	Dingell	Debbie		P	MI12	2023	1/19/2023	20022293
Hon.	Doggett	Lloyd		P	TX35	2023	1/5/2023	20022228
Hon.	Flores	Mayra Nohemi		X	TX34	2023	2/2/2023	30017764
Hon.	Foxx	Virginia		P	NC05	2023	1/3/2023	20022211
Hon.	Foxx	Virginia		P	NC05	2023	1/3/2023	20022213
Hon.	Frankel	Lois		P	FL21	2023	1/6/2023	20022218
Hon.	Garcia	Michael		P	CA27	2023	1/26/2023	20022325
Hon.	Gibbs	Bob		T	OH07	2023	1/25/2023	10050773
